2024-11-04 20:01:32,637 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-11-04 20:01:32,637 - INFO - Server läuft auf 192.168.2.122:50000 und wartet auf Verbindungen...
2024-11-04 20:01:32,637 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-11-04 20:01:37,642 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-11-04 20:01:39,753 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 187
2024-11-04 20:01:39,764 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 188
2024-11-04 20:01:39,775 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 189
2024-11-04 20:01:39,787 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 190
2024-11-04 20:01:39,799 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 191
2024-11-04 20:01:39,811 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 192
2024-11-04 20:01:39,823 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 193
2024-11-04 20:01:39,834 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 194
2024-11-04 20:01:39,846 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 195
2024-11-04 20:01:39,857 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 196
2024-11-04 20:01:39,867 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 197
2024-11-04 20:01:39,877 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 198
2024-11-04 20:01:39,889 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 199
2024-11-04 20:01:39,900 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 200
2024-11-04 20:01:39,913 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 201
2024-11-04 20:01:39,924 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 202
2024-11-04 20:01:39,935 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 203
2024-11-04 20:01:39,947 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 204
2024-11-04 20:01:39,957 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 205
2024-11-04 20:01:39,970 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 206
2024-11-04 20:01:39,980 - INFO - Empfangene Nachricht von ('192.168.2.122', 58483): ('192.168.2.122', 58483): 207
